LandPrice,RoadWidth,Gas,DistRoad,DevelopmentRate,Dist,LONG,LAT
69500,8,1,6,60,9.77533,141.3726008,43.06655471
59000,8,1,5.7,60,10.0302,141.3722212,43.063161
74500,8,0,3.8,60,7.85456,141.3674141,43.0622255
121000,7,0,0.7,200,4.85936,141.3602602,43.06036032
62000,8,0,8,60,8.96384,141.3617392,43.0503748
61500,8,0,1.4,60,11.1771,141.3760174,43.07000455
700000,20,0,0.07,400,2.7376,141.3569738,43.06260516
320000,25,0,0.5,300,3.55561,141.3584034,43.0620246
143000,15,1,0.9,200,4.76964,141.3585069,43.05818265
1650000,22,0,0.4,700,0.59279,141.3528748,43.06345359
177000,22,1,0.8,200,4.71886,141.3598478,43.06018521
390000,20,0,0.3,300,1.3441,141.3544518,43.06343081
500000,20,0,0.15,300,1.01133,141.3539464,43.06389616
840000,20,0,0.24,400,0.767373,141.3534038,43.06377822
195000,20,1,0.18,200,4.05704,141.3574211,43.05892968
116000,8,1,0.55,200,3.09011,141.3578886,43.06903722
105000,8,1,1.4,200,4.05014,141.3595305,43.07096912
107000,7,1,0.95,200,3.26618,141.3584189,43.06897509
92000,11,1,1.5,80,5.88107,141.3641774,43.06475296
56000,8,1,5.8,200,8.01814,141.3689206,43.07336622
114000,8,1,0.35,200,5.51679,141.3637322,43.06635528
160000,14,0,0.45,200,1.22746,141.3545231,43.06521844
106000,8,1,0.83,200,2.74844,141.3563922,43.0694545
102000,6,0,1.3,200,4.8657,141.3620239,43.06449013
100000,8,1,1,200,4.53573,141.3615716,43.0690254
81000,8,0,1.9,80,6.48817,141.3653986,43.06464894
121000,7,1,0.4,200,3.89476,141.3601751,43.06844896
110000,8,0,0.39,80,4.80915,141.362307,43.06793845
92000,8,0,1.9,200,4.75701,141.3611711,43.07170927
79000,8,1,2.5,60,5.34815,141.3627398,43.07183793
71000,8,1,5.2,60,6.79103,141.3641912,43.07639806
111000,10.9,0,1,200,3.81656,141.3597736,43.06413438
130000,11,1,0.25,200,3.55545,141.3595659,43.06728433
80000,10,1,3.6,80,5.60675,141.3615082,43.07480318
88500,8,0,1.6,60,5.16668,141.3628048,43.07026347
118000,11,0,0.72,200,2.86614,141.3579118,43.06756977
117000,7,0,0.92,200,2.05397,141.3563214,43.06507203
130000,10,0,0.55,200,2.17767,141.3560079,43.06770368
115000,10,1,0.7,200,4.08313,141.3607108,43.06627048
165000,22,0,1,200,2.95372,141.3581838,43.06494171
105000,11,0,0.9,200,4.10098,141.3603268,43.06402847
76000,8,1,4.5,80,6.37602,141.3626758,43.07643701
92000,8,1,1.2,80,5.60429,141.3631422,43.06319689
97000,8,1,0.75,80,5.27124,141.3630221,43.06518611
112000,8,1,0.75,200,4.83727,141.3623003,43.06627944
148000,20,0,1.3,200,3.23017,141.3588126,43.06528633
116000,6,1,1.1,200,2.86447,141.3580966,43.06617085
93000,8,0,1.9,200,4.53926,141.3602785,43.07205855
109000,7,0,1.2,200,2.00666,141.3550909,43.06803437
103000,11,0,0.8,200,3.07009,141.3571686,43.0698759
91000,8,0,1.7,200,3.85634,141.3581317,43.07173887
104000,11,1,1.7,200,4.66597,141.3613798,43.07077261
66000,8,1,3.3,60,5.75248,141.3627711,43.07388267
65000,8,0,5.5,60,7.64852,141.3663739,43.07713734
93000,5.5,1,1.5,200,3.27995,141.3562896,43.07112645
120000,14.5,1,1.2,200,3.6093,141.3596993,43.0661909
102000,25,1,1.2,200,6.08036,141.3647122,43.06528684
109000,6,1,0.9,200,4.39704,141.3612827,43.06555872
113000,7,0,1.1,200,3.42291,141.3588286,43.06368592
118000,14.5,0,1.1,200,3.19817,141.3585758,43.06440665
84000,8,1,2.3,60,5.11771,141.3618186,43.07239515
200000,20,0,0.6,300,2.0949,141.3561169,43.06373257
127000,13,1,1.8,200,4.83802,141.3615647,43.07139325
320000,25,0,0.1,300,1.8501,141.3556948,43.06653722
210000,32,1,0.05,300,4.73037,141.3621383,43.06717135
250000,20,1,0.55,200,4.92754,141.361607,43.06281289
550000,17,0,0.45,400,0.687603,141.3533473,43.06474818
270000,25,0,0.65,300,1.41614,141.3542869,43.0667137
190000,36,0,0.5,300,1.66421,141.3554943,43.06520026
157000,20,1,3.8,200,5.71805,141.3614919,43.07521181
295000,25,0,0.06,300,3.63822,141.3596924,43.06779731
165000,25,1,2.3,200,5.94375,141.3642098,43.06438432
119000,8,0,1,200,5.20017,141.3508642,43.07496986
92000,8,0,1,200,4.75456,141.3541177,43.07491557
101000,8,0,1.1,200,6.40836,141.3510275,43.07770158
140000,8,0,0.2,200,5.64497,141.3492624,43.0751519
93000,6,1,2.6,200,4.27027,141.3547002,43.07385671
88000,8,1,4.3,200,5.06958,141.3568168,43.07560594
114000,8,0,0.45,200,4.8796,141.3527358,43.07492545
74000,8,1,2.3,80,6.37832,141.355625,43.07873111
142000,6,0,0.45,200,4.19008,141.3508586,43.07273609
105000,8,0,1,200,5.69796,141.351754,43.07641801
100000,11,1,0.75,200,5.5269,141.3535341,43.0765432
83000,8,1,0.55,80,7.77611,141.3531933,43.08143207
128000,8,0,0.3,200,6.46134,141.349108,43.07689878
130000,8,0,0.2,200,6.73983,141.3498448,43.07790263
121000,8,0,0.43,200,8.16473,141.3481591,43.0801937
144000,12,0,0.48,200,3.92075,141.3499371,43.07165526
66000,8,1,2.8,60,7.02958,141.3560507,43.08024384
78000,8,1,1.1,60,8.36738,141.3533155,43.08276799
71000,8,1,1.3,80,7.21178,141.3549847,43.08054897
83500,11,1,2.1,200,6.36093,141.3536083,43.07840777
115000,8,0,0.8,200,7.49527,141.3480548,43.07862432
92000,8,1,2.2,200,4.4753,141.35574,43.07430206
87500,8,1,3.2,200,5.30186,141.3579711,43.07593348
120000,8,0,1,200,5.17892,141.3489667,43.0739225
123000,8,0,0.5,200,6.60414,141.3484649,43.07685175
63000,8,1,2.6,80,6.32562,141.3570908,43.07860486
78000,8,1,1.9,200,5.67138,141.3561897,43.07710692
94000,8,1,0.8,200,5.83993,141.3529547,43.07710034
87000,8,1,1.4,200,6.43435,141.3527949,43.0783669
120000,8,1,0.47,200,7.75627,141.3494372,43.07995871
77500,8,1,1.3,60,7.87924,141.354175,43.08189379
79000,8,1,0.8,80,7.23517,141.3541723,43.08046368
232000,20,0,0.4,300,2.04079,141.3522188,43.06853002
290000,25,0,0.9,400,4.87725,141.3517179,43.07460138
145000,20,1,0.3,200,7.35618,141.3533794,43.08055406
298000,32,0,0.07,300,5.71416,141.3497162,43.07555504
220000,20,0,0.38,200,8.06601,141.3479824,43.0798705
240000,15,0,0.32,400,5.78711,141.350305,43.07601183
130000,5,0,0.4,200,5.44995,141.3470755,43.07321781
100000,8,0,2,60,7.17136,141.3399399,43.06989891
148000,9,0,0.4,200,2.32669,141.3487317,43.06684255
92000,8,0,1.6,60,9.70157,141.3468772,43.08291656
114000,8,0,2.2,200,4.92819,141.3420625,43.06480797
135000,10,0,1,200,3.82738,141.3491527,43.07093876
150000,8,0,0.46,200,2.92672,141.3470089,43.06637122
143000,8,0,0.5,200,4.03894,141.3458881,43.06833563
140000,8,0,0.45,200,3.72412,141.3470479,43.06882177
138000,8,0,0.4,200,4.10992,141.3480057,43.07073112
98000,8,1,3,200,9.37996,141.3424809,43.07896577
137000,8,0,0.9,200,4.63091,141.3434253,43.0664973
104000,6,0,1.2,200,6.11608,141.3437378,43.07172824
